Date Created,Live Timing,Marketing Channel,cid,promoCode,Campaign Category,Campaign Name,utm_source*,utm_medium*,utm_campaign*,SLUG,Base URL,Full URL with UTMs
9/22/2025,,RM Email,CM/AHLD001,AHLD001,Fox Nation Dedicated Emails,September 22 - Base Club,fox,email,fox_nation_dedicated_email_base_club,,https://www.foxnewswineshop.com/jsp/newlandingpage/us/home.jsp?cid=CM/AHLD001&promoCode=AHLD001,https://www.foxnewswineshop.com/jsp/newlandingpage/us/home.jsp?cid=CM/AHLD001&promoCode=AHLD001&utm_source=fox&utm_medium=email&utm_campaign=fox_nation_dedicated_email_base_club
9/22/2025,,RM Email,N/A,N/A,Fox Nation Dedicated Emails,September 22 - HP,fox,email,fn_dedicated_email_hp,,https://www.foxnewswineshop.com/,https://www.foxnewswineshop.com/?utm_source=fox&utm_medium=email&utm_campaign=fn_dedicated_email_hp
9/17/2025,,RM Email,CM/AHLD001,AHLD001,Fox Nation Email Banners,September 17 - Base Club,fox,email,fn_email_banners_base_club,,https://www.foxnewswineshop.com/jsp/newlandingpage/us/home.jsp?cid=CM/AHLD001&promoCode=AHLD001,https://www.foxnewswineshop.com/jsp/newlandingpage/us/home.jsp?cid=CM/AHLD001&promoCode=AHLD001&utm_source=fox&utm_medium=email&utm_campaign=fn_email_banners_base_club
9/17/2025,,RM Email,N/A,N/A,Fox Nation Email Banners,September 17 - HP,fox,email,fn_email_banners_hp,,https://www.foxnewswineshop.com/,https://www.foxnewswineshop.com/?utm_source=fox&utm_medium=email&utm_campaign=fn_email_banners_hp
9/22/2025,,RM Email,CM/AHLD001,AHLD001,FOX News Dedicated Emails,September 22 - Base Club,fox,email,fox_news_dedicated_email_base_club,,https://www.foxnewswineshop.com/jsp/newlandingpage/us/home.jsp?cid=CM/AHLD001&promoCode=AHLD001,https://www.foxnewswineshop.com/jsp/newlandingpage/us/home.jsp?cid=CM/AHLD001&promoCode=AHLD001&utm_source=fox&utm_medium=email&utm_campaign=fox_news_dedicated_email_base_club
9/22/2025,,RM Email,N/A,N/A,FOX News Dedicated Emails,September 22 - HP,fox,email,fox_news_dedicated_email_hp,,https://www.foxnewswineshop.com/,https://www.foxnewswineshop.com/?utm_source=fox&utm_medium=email&utm_campaign=fox_news_dedicated_email_hp
9/18/2025,,RM Email,CM/AHLD001,AHLD001,FOX News Email Banners,September 18 - Base Club,fox,email,fox_news_email_banners_base_club,,https://www.foxnewswineshop.com/jsp/newlandingpage/us/home.jsp?cid=CM/AHLD001,https://www.foxnewswineshop.com/jsp/newlandingpage/us/home.jsp?cid=CM/AHLD001&promoCode=AHLD001&utm_source=fox&utm_medium=email&utm_campaign=fox_news_email_banners_base_club
9/16/2025,,RM Display,CM/AHLD001,AHLD001,FOXNews.com Banner Ads,September 16 - Base Club,fox,website,banner_ads_base_club,,https://www.foxnewswineshop.com/jsp/newlandingpage/us/home.jsp?cid=CM/AHLD001&promoCode=AHLD001,https://www.foxnewswineshop.com/jsp/newlandingpage/us/home.jsp?cid=CM/AHLD001&promoCode=AHLD001&utm_source=fox&utm_medium=website&utm_campaign=banner_ads_base_club#/
9/16/2025,,RM Display,N/A,N/A,FOXNews.com Banner Ads,September 16 - HP,fox,website,banner_ads_hp,,https://www.foxnewswineshop.com/,https://www.foxnewswineshop.com/?utm_source=fox&utm_medium=website&utm_campaign=banner_ads_hp
10/15/2025,11/1/2025,RM Email,N/A,N/A,FOX News Dedicated Emails,October 15 - HP,fox,email,fox_news_dedicated_email_hp_11012025,,https://www.foxnewswineshop.com/,https://www.foxnewswineshop.com/?utm_source=fox&utm_medium=email&utm_campaign=fox_news_dedicated_email_hp_11012025
10/15/2025,11/1/2025,RM Email,CM/AHLD001,AHLD001,FOX News Dedicated Emails,October 15 - Base Club,fox,email,fox_news_dedicated_email_base_club_11012025,,https://www.foxnewswineshop.com/jsp/newlandingpage/us/home.jsp?cid=CM/AHLD001&promoCode=AHLD001,https://www.foxnewswineshop.com/jsp/newlandingpage/us/home.jsp?cid=CM/AHLD001&promoCode=AHLD001&utm_source=fox&utm_medium=email&utm_campaign=fox_news_dedicated_email_base_club_11012025
10/15/2025,10/31/2025,RM Email,CM/AHLD001,AHLD001,Fox Nation Dedicated Emails,October 15 - Base Club,fox,email,fox_nation_dedicated_email_base_club_10312025,,https://www.foxnewswineshop.com/jsp/newlandingpage/us/home.jsp?cid=CM/AHLD001&promoCode=AHLD001,https://www.foxnewswineshop.com/jsp/newlandingpage/us/home.jsp?cid=CM/AHLD001&promoCode=AHLD001&utm_source=fox&utm_medium=email&utm_campaign=fox_nation_dedicated_email_base_club_10312025
10/15/2025,10/31/2025,RM Email,N/A,N/A,Fox Nation Dedicated Emails,October 15 - HP,fox,email,fn_dedicated_email_hp_10312025,,https://www.foxnewswineshop.com/,https://www.foxnewswineshop.com/?utm_source=fox&utm_medium=email&utm_campaign=fn_dedicated_email_hp_10312025
10/16/2025,11/12/2025,RM Other,CM/AHLD001,AHLD001,FOX Nation TV,October 16 - Base Club,fox,tv,fn_wine_nation_11122025,&offer=american-wine-club,https://www.foxnewswineshop.com/jsp/newlandingpage/us/home.jsp?cid=CM/AHLD001&promoCode=AHLD001,https://www.foxnewswineshop.com/jsp/newlandingpage/us/home.jsp?cid=CM/AHLD001&promoCode=AHLD001&offer=american-wine-club&utm_source=fox&utm_medium=tv&utm_campaign=fn_wine_nation_11122025
10/16/2025,11/12/2025,RM Other,CM/AHLD002,AHLD002,FOX Nation TV,October 16 - Reserve Club,fox,tv,fn_wine_nation_11122025,&offer=american-wine-club-reserve,https://www.foxnewswineshop.com/jsp/newlandingpage/us/home.jsp?cid=CM/AHLD002&promoCode=AHLD002&offer=american-wine-club-reserve,https://www.foxnewswineshop.com/jsp/newlandingpage/us/home.jsp?cid=CM/AHLD002&promoCode=AHLD002&offer=american-wine-club-reserve&utm_source=fox&utm_medium=tv&utm_campaign=fn_wine_nation_11122025
10/16/2025,10/31/2025,RM Other,N/A,N/A,FOX News Facebook,October 16 - HP,fox,organic_social,fox_news_facebook_10312025,,https://www.foxnewswineshop.com/,https://www.foxnewswineshop.com/?utm_source=fox&utm_medium=organic_social&utm_campaign=fox_news_facebook_10312025
10/16/2025,10/31/2025,RM Other,N/A,N/A,FOX News Social Instagram,October 16 - HP,fox,organic_social,fox_news_instagram_10312025,,https://www.foxnewswineshop.com/,https://www.foxnewswineshop.com/?utm_source=fox&utm_medium=organic_social&utm_campaign=fox_news_instagram_10312025
10/16/2025,10/31/2025,RM Other,N/A,N/A,FOX News Social X,October 16 - HP,fox,organic_social,fox_news_x_10312025,,https://www.foxnewswineshop.com/,https://www.foxnewswineshop.com/?utm_source=fox&utm_medium=organic_social&utm_campaign=fox_news_x_10312025
10/16/2025,10/31/2025,RM Other,N/A,N/A,FOX News Social YouTube,October 16 - HP,fox,organic_social,fox_news_youtube_10312025,,https://www.foxnewswineshop.com/,https://www.foxnewswineshop.com/?utm_source=fox&utm_medium=organic_social&utm_campaign=fox_news_youtube_10312025
10/22/2025,11/1/2025,RM Email,CM/AHLD001,AHLD001,US Vets Email Banners,October 22 - Base Club,fox,email,us_vets_email_banner_base_club_11012025,&offer=american-wine-club,https://www.foxnewswineshop.com/jsp/newlandingpage/us/home.jsp?cid=CM/AHLD001&promoCode=AHLD001,https://www.foxnewswineshop.com/jsp/newlandingpage/us/home.jsp?cid=CM/AHLD001&promoCode=AHLD001&offer=american-wine-club&utm_source=fox&utm_medium=email&utm_campaign=us_vets_email_banner_base_club_11012025
10/23/2025,11/15/2025,RM Other,N/A,N/A,Gutfeld TV,October 23 - HP,fox,tv,fox_gutfeld_print_audience_offer_11152025,,https://www.foxnewswineshop.com/,https://www.foxnewswineshop.com/?utm_source=fox&utm_medium=tv&fox_gutfeld_print_audience_offer_11152025
10/28/2025,10/28/2025,RM Other,N/A,N/A,FOX News Social Threads,October 28 - HP,fox,organic_social,fox_news_threads_10282025,,https://www.foxnewswineshop.com/,https://www.foxnewswineshop.com/?utm_source=fox&utm_medium=organic_social&utm_campaign=fox_news_threads_10282025
10/28/2025,10/28/2025,RM Other,N/A,N/A,FOX News Social TikTok,October 28 - HP,fox,organic_social,fox_news_tiktok_10282025,,https://www.foxnewswineshop.com/,https://www.foxnewswineshop.com/?utm_source=fox&utm_medium=organic_social&utm_campaign=fox_news_tiktok_10282025
11/3/2025,11/15/2025,RM Other,N/A,N/A,FOX Business TV,November 3 - HP,fox,tv,fox_business_tv_homepage_11152025,,https://www.foxnewswineshop.com/,https://www.foxnewswineshop.com/?utm_source=fox&utm_medium=tv&fox_business_tv_homepage_11152025
11/5/2025,11/15/2025,RM Email,CM/AHLD001,AHLD001,Fox Nation Dedicated Emails,November 15 - Base Club,fox,email,fox_nation_dedicated_email_base_club_11152025,&offer=american-wine-club,https://www.foxnewswineshop.com/jsp/newlandingpage/us/home.jsp?cid=CM/AHLD001&promoCode=AHLD001,https://www.foxnewswineshop.com/jsp/newlandingpage/us/home.jsp?cid=CM/AHLD001&promoCode=AHLD001&offer=american-wine-club&utm_source=fox&utm_medium=email&utm_campaign=fox_nation_dedicated_email_base_club_11152025
11/5/2025,11/15/2025,RM Email,CM/AHLD001,AHLD001,FOX News Dedicated Emails,November 15 - Base Club,fox,email,fox_news_dedicated_email_base_club_11152025,&offer=american-wine-club,https://www.foxnewswineshop.com/jsp/newlandingpage/us/home.jsp?cid=CM/AHLD001&promoCode=AHLD001,https://www.foxnewswineshop.com/jsp/newlandingpage/us/home.jsp?cid=CM/AHLD001&promoCode=AHLD001&offer=american-wine-club&utm_source=fox&utm_medium=email&utm_campaign=fox_news_dedicated_email_base_club_11152025
11/5/2025,11/5/2025,RM Other,N/A,N/A,FOX News Radio Segment,November 15 - HP,fox,radio,fox_news_radio_hp_11052025,,https://www.foxnewswineshop.com,https://www.foxnewswineshop.com/?utm_source=fox&utm_medium=radio&utm_campaign=fox_news_radio_hp_11052025
11/11/2025,11/11/2025,RM Other,N/A,N/A,FOX News Facebook,November 11 - Base Club,fox,organic_social,fox_news_facebook_11112025,&offer=american-wine-club,https://www.foxnewswineshop.com/jsp/newlandingpage/us/home.jsp?cid=CM/AHLD001&promoCode=AHLD001&offer=american-wine-club#/,https://www.foxnewswineshop.com/jsp/newlandingpage/us/home.jsp?cid=CM/AHLD001&promoCode=AHLD001&offer=american-wine-club&utm_source=fox&utm_medium=organic_social&utm_campaign=fox_news_facebook_11112025
11/11/2025,11/11/2025,RM Other,N/A,N/A,FOX News Social Instagram,November 11 - Base Club,fox,organic_social,fox_news_instagram_11112025,&offer=american-wine-club,https://www.foxnewswineshop.com/jsp/newlandingpage/us/home.jsp?cid=CM/AHLD001&promoCode=AHLD001&offer=american-wine-club#/,https://www.foxnewswineshop.com/jsp/newlandingpage/us/home.jsp?cid=CM/AHLD001&promoCode=AHLD001&offer=american-wine-club&utm_source=fox&utm_medium=organic_social&utm_campaign=fox_news_instagram_11112025
11/11/2025,11/11/2025,RM Other,N/A,N/A,FOX News Social X,November 11 - Base Club,fox,organic_social,fox_news_x_11112025,&offer=american-wine-club,https://www.foxnewswineshop.com/jsp/newlandingpage/us/home.jsp?cid=CM/AHLD001&promoCode=AHLD001&offer=american-wine-club#/,https://www.foxnewswineshop.com/jsp/newlandingpage/us/home.jsp?cid=CM/AHLD001&promoCode=AHLD001&offer=american-wine-club&utm_source=fox&utm_medium=organic_social&utm_campaign=fox_news_x_11112025
11/11/2025,11/11/2025,RM Other,N/A,N/A,FOX News Social YouTube,November 11 - Base Club,fox,organic_social,fox_news_youtube_11112025,&offer=american-wine-club,https://www.foxnewswineshop.com/jsp/newlandingpage/us/home.jsp?cid=CM/AHLD001&promoCode=AHLD001&offer=american-wine-club#/,https://www.foxnewswineshop.com/jsp/newlandingpage/us/home.jsp?cid=CM/AHLD001&promoCode=AHLD001&offer=american-wine-club&utm_source=fox&utm_medium=organic_social&utm_campaign=fox_news_youtube_11112025
11/11/2025,11/11/2025,RM Other,N/A,N/A,FOX News Social Threads,November 11 - Base Club,fox,organic_social,fox_news_threads_11112025,&offer=american-wine-club,https://www.foxnewswineshop.com/jsp/newlandingpage/us/home.jsp?cid=CM/AHLD001&promoCode=AHLD001&offer=american-wine-club#/,https://www.foxnewswineshop.com/jsp/newlandingpage/us/home.jsp?cid=CM/AHLD001&promoCode=AHLD001&offer=american-wine-club&utm_source=fox&utm_medium=organic_social&utm_campaign=fox_news_threads_11112025
11/11/2025,11/11/2025,RM Other,N/A,N/A,FOX News Social Tik Tok,November 11 - Base Club,fox,organic_social,fox_news_tik_tok_11112025,&offer=american-wine-club,https://www.foxnewswineshop.com/jsp/newlandingpage/us/home.jsp?cid=CM/AHLD001&promoCode=AHLD001&offer=american-wine-club#/,https://www.foxnewswineshop.com/jsp/newlandingpage/us/home.jsp?cid=CM/AHLD001&promoCode=AHLD001&offer=american-wine-club&utm_source=fox&utm_medium=organic_social&utm_campaign=fox_news_tik_tok_11112025
11/11/2025,11/11/2025,RM Other,N/A,N/A,FOX News Facebook,November 11 - Base Club,fox,organic_social,fox_news_facebook_adam_lazarre_11112025,&offer=american-wine-club,https://www.foxnewswineshop.com/jsp/newlandingpage/us/home.jsp?cid=CM/AHLD001&promoCode=AHLD001&offer=american-wine-club#/,https://www.foxnewswineshop.com/jsp/newlandingpage/us/home.jsp?cid=CM/AHLD001&promoCode=AHLD001&offer=american-wine-club&utm_source=fox&utm_medium=organic_social&utm_campaign=fox_news_facebook_adam_lazarre_11112025
11/11/2025,11/11/2025,RM Other,N/A,N/A,FOX News Social Instagram,November 11 - Base Club,fox,organic_social,fox_news_instagram_adam_lazarre_11112025,&offer=american-wine-club,https://www.foxnewswineshop.com/jsp/newlandingpage/us/home.jsp?cid=CM/AHLD001&promoCode=AHLD001&offer=american-wine-club#/,https://www.foxnewswineshop.com/jsp/newlandingpage/us/home.jsp?cid=CM/AHLD001&promoCode=AHLD001&offer=american-wine-club&utm_source=fox&utm_medium=organic_social&utm_campaign=fox_news_instagram_adam_lazarre_11112025
11/11/2025,11/11/2025,RM Other,N/A,N/A,FOX News Social X,November 11 - Base Club,fox,organic_social,fox_news_x_adam_lazarre_11112025,&offer=american-wine-club,https://www.foxnewswineshop.com/jsp/newlandingpage/us/home.jsp?cid=CM/AHLD001&promoCode=AHLD001&offer=american-wine-club#/,https://www.foxnewswineshop.com/jsp/newlandingpage/us/home.jsp?cid=CM/AHLD001&promoCode=AHLD001&offer=american-wine-club&utm_source=fox&utm_medium=organic_social&utm_campaign=fox_news_x_adam_lazarre_11112025
11/11/2025,11/11/2025,RM Other,N/A,N/A,FOX News Social YouTube,November 11 - Base Club,fox,organic_social,fox_news_youtube_adam_lazarre_11112025,&offer=american-wine-club,https://www.foxnewswineshop.com/jsp/newlandingpage/us/home.jsp?cid=CM/AHLD001&promoCode=AHLD001&offer=american-wine-club#/,https://www.foxnewswineshop.com/jsp/newlandingpage/us/home.jsp?cid=CM/AHLD001&promoCode=AHLD001&offer=american-wine-club&utm_source=fox&utm_medium=organic_social&utm_campaign=fox_news_youtube_adam_lazarre_11112025
11/11/2025,11/11/2025,RM Other,N/A,N/A,FOX News Social Threads,November 11 - Base Club,fox,organic_social,fox_news_threads_adam_lazarre_11112025,&offer=american-wine-club,https://www.foxnewswineshop.com/jsp/newlandingpage/us/home.jsp?cid=CM/AHLD001&promoCode=AHLD001&offer=american-wine-club#/,https://www.foxnewswineshop.com/jsp/newlandingpage/us/home.jsp?cid=CM/AHLD001&promoCode=AHLD001&offer=american-wine-club&utm_source=fox&utm_medium=organic_social&utm_campaign=fox_news_threads_adam_lazarre_11112025
11/11/2025,11/11/2025,RM Other,N/A,N/A,FOX News Social Tik Tok,November 11 - Base Club,fox,organic_social,fox_news_tik_tok_adam_lazarre_11112025,&offer=american-wine-club,https://www.foxnewswineshop.com/jsp/newlandingpage/us/home.jsp?cid=CM/AHLD001&promoCode=AHLD001&offer=american-wine-club#/,https://www.foxnewswineshop.com/jsp/newlandingpage/us/home.jsp?cid=CM/AHLD001&promoCode=AHLD001&offer=american-wine-club&utm_source=fox&utm_medium=organic_social&utm_campaign=fox_news_tik_tok_adam_lazarre_11112025
11/13/2025,11/11/2025,RM Other,N/A,N/A,FOX News Facebook,November 13 - HP,fox,organic_social,fox_news_facebook_jesse_watters_the_five_11132025,,https://www.foxnewswineshop.com/,https://www.foxnewswineshop.com/?utm_source=facebook&utm_medium=organic_social&utmcampaign=fox_news_facebook_jesse_watters_the_five_11132025
11/13/2025,11/11/2025,RM Other,N/A,N/A,FOX News Social Instagram,November 13 - HP,fox,organic_social,fox_news_instagram_jesse_watters_the_five_11132025,,https://www.foxnewswineshop.com/,https://www.foxnewswineshop.com/?utm_source=instagram&utm_medium=organic_social&utmcampaign=fox_news_instagram_jesse_watters_the_five_11132025
11/13/2025,11/11/2025,RM Other,N/A,N/A,FOX News Social X,November 13 - HP,fox,organic_social,fox_news_x_jesse_watters_the_five_11132025,,https://www.foxnewswineshop.com/,https://www.foxnewswineshop.com/?utm_source=x&utm_medium=organic_social&utmcampaign=fox_news_x_jesse_watters_the_five_11132025
11/13/2025,11/11/2025,RM Other,N/A,N/A,FOX News Social Threads,November 13 - HP,fox,organic_social,fox_news_threads_jesse_watters_the_five_11132025,,https://www.foxnewswineshop.com/,https://www.foxnewswineshop.com/?utm_source=threads&utm_medium=organic_social&utmcampaign=fox_news_threads_jesse_watters_the_five_11132025
11/19/2025,11/19/2025,RM Display,N/A,N/A,FOXNews.com Banner Ads,November 19 - HP,fox,website,fox_news_banner_ads_wine_feature_page_hp_11192025,,https://www.foxnewswineshop.com/,https://www.foxnewswineshop.com/?utm_source=fox&utm_medium=website&utm_campaign=fox_news_banner_ads_wine_feature_page_hp_11192025
11/25/2025,11/28/2025,RM Email,N/A,N/A,Fox Nation Dedicated Emails,November 28 - HP,fox,email,fn_dedicated_email_hp_cyber_week_11282025,,https://www.foxnewswineshop.com/,https://www.foxnewswineshop.com/?utm_source=fox&utm_medium=email&utm_campaign=fn_dedicated_email_hp_cyber_week_11282025
11/25/2025,12/1/2025,RM Email,N/A,N/A,Fox News Editorial Articles,November 28 - Winemaker Bio,fox,web_others,fox_news_editorial_nova_cadamatre_12012025,,https://www.foxnewswineshop.com/,https://www.foxnewswineshop.com/?utm_source=fox&utm_medium=web_others&utm_campaign=fox_news_editorial_nova_cadamatre_12012025
11/25/2025,12/1/2025,RM Email,N/A,N/A,Fox News Editorial Articles,November 28 - HP,fox,web_others,fox_news_editorial_eric_glomski_12012025,,https://www.foxnewswineshop.com/,https://www.foxnewswineshop.com/?utm_source=fox&utm_medium=web_others&utm_campaign=fox_news_editorial_eric_glomski_12012025
11/25/2025,12/1/2025,RM Email,N/A,N/A,Fox News Editorial Articles,November 28 - Winemaker Bio,fox,web_others,fox_news_editorial_moe_momtazi_12012025,,https://www.foxnewswineshop.com/content/moe-momtazi-bio,https://www.foxnewswineshop.com/content/moe-momtazi-bio?utm_source=fox&utm_medium=web_others&utm_campaign=fox_news_editorial_moe_momtazi_12012025
11/25/2025,11/28/2025,RM Other,N/A,N/A,FOX News Facebook,November 28 - HP,facebook,organic_social,fox_news_facebook_cyber_week_deal_hp_11282025,,https://www.foxnewswineshop.com/,https://www.foxnewswineshop.com/?utm_source=facebook&utm_medium=organic_social&utmcampaign=fox_news_facebook_cyber_week_deal_hp_11282025
11/25/2025,11/28/2025,RM Other,N/A,N/A,FOX News Social Instagram,November 28 - HP,instagram,organic_social,fox_news_instagram_cyber_week_deal_hp_11282025,,https://www.foxnewswineshop.com/,https://www.foxnewswineshop.com/?utm_source=instagram&utm_medium=organic_social&utmcampaign=fox_news_instagram_cyber_week_deal_hp_11282025
11/25/2025,11/28/2025,RM Other,N/A,N/A,FOX News Social X,November 28 - HP,x,organic_social,fox_news_x_cyber_week_deal_hp_11282025,,https://www.foxnewswineshop.com/,https://www.foxnewswineshop.com/?utm_source=x&utm_medium=organic_social&utmcampaign=fox_news_x_cyber_week_deal_hp_11282025
11/25/2025,11/28/2025,RM Other,N/A,N/A,FOX News Social Threads,November 28 - HP,threads,organic_social,fox_news_threads_cyber_week_deal_hp_11282025,,https://www.foxnewswineshop.com/,https://www.foxnewswineshop.com/?utm_source=threads&utm_medium=organic_social&utmcampaign=fox_news_threads_cyber_week_deal_hp_11282025
11/25/2025,11/28/2025,RM Other,N/A,N/A,FOX News Social YouTube,November 28 - HP,youtube,organic_social,fox_news_youtube_cyber_week_deal_hp_11282025,,https://www.foxnewswineshop.com/,https://www.foxnewswineshop.com/?utm_source=youtube&utm_medium=organic_social&utmcampaign=fox_news_youtube_cyber_week_deal_hp_11282025
11/26/2025,12/1/2025,RM Display,N/A,N/A,FOXNews.com Banner Ads,November 26 - Gifting Hub,fox,website,fox_news_banner_ads_holiday_gifting_hub_12012025,&gifts,https://www.foxnewswineshop.com/content/gifts,https://www.foxnewswineshop.com/content/gifts/?utm_source=fox&utm_medium=website&utm_campaign=fox_news_banner_ads_holiday_gifting_hub_12012025
12/9/2025,12/11/2025,RM Email,N/A,N/A,FOX Nation Email Banners,December 11 - HP,fox,email,fn_email_banners_new_to_nation_nation50_hp_12112025,,https://www.foxnewswineshop.com/,https://www.foxnewswineshop.com/?utm_source=fox&utm_medium=email&utm_campaign=fn_email_banners_new_to_nation_nation50_hp_12112025
12/9/2025,12/11/2025,RM Email,N/A,N/A,FOX News Email Banners,December 11 - HP,fox,email,fox_news_email_banners_shop_order_confirmation_foxwine15_hp_12112025,,https://www.foxnewswineshop.com/,https://www.foxnewswineshop.com/?utm_source=fox&utm_medium=email&utm_campaign=fox_news_email_banners_shop_order_confirmation_foxwine15_hp_12112025
